#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
W_L_227012;http://en.wikipedia.org/wiki/Rashid_ad-Din_Sinan;http://fr.wikipedia.org/wiki/Rachid_ad-Din_Sinan;http://de.wikipedia.org/wiki/Raschid_ad-Din_Sinan;;http://es.wikipedia.org/wiki/Rashid_ad-Din_Sinan;;;;;;;;;x
W_L_1231089;http://en.wikipedia.org/wiki/Hassan_II_(Imam);http://fr.wikipedia.org/wiki/Hassan_II_(imam);;;;;;;;;;;;x
W_L_144228;http://en.wikipedia.org/wiki/Nur_al-Din_Muhammad_II;;;;;;;;;;;;;x
W_L_144229;http://en.wikipedia.org/wiki/Jalaluddin_Hasan;;;;;;;;;;;;;x
W_L_144230;http://en.wikipedia.org/wiki/%E2%80%98Al%C4%81%E2%80%99_ad-D%C4%ABn_Mu%E1%B8%A5ammad_III;;;;;;;;;;;;;x
W_L_144231;http://en.wikipedia.org/wiki/Rukn_al-Din_Khurshah;http://fr.wikipedia.org/wiki/Rukn_ad-D%C3%AEn_Khursh%C3%A2h;;;;;;;;;;;;x
W_L_41703;http://en.wikipedia.org/wiki/Omar_Khayyam;http://fr.wikipedia.org/wiki/Omar_Khayyam;http://de.wikipedia.org/wiki/%CA%BFOmar_Chayy%C4%81m;;http://es.wikipedia.org/wiki/Omar_Jayam;;;;;;;;;x
W_L_125504;http://en.wikipedia.org/wiki/Berke;http://fr.wikipedia.org/wiki/Berk%C3%A9;http://de.wikipedia.org/wiki/Berke_Khan;;;;;;;;;;;x
W_L_125505;http://en.wikipedia.org/wiki/Sartaq_Khan;http://fr.wikipedia.org/wiki/Sartaq;http://de.wikipedia.org/wiki/Sartaq_Khan;;;;;;;;;;;x
W_L_125506;http://en.wikipedia.org/wiki/Ulaghchi;http://fr.wikipedia.org/wiki/Ulaqtchi;http://de.wikipedia.org/wiki/Ulaqchi_Khan;;;;;;;;;;;x
W_L_125508;http://en.wikipedia.org/wiki/Mengu-Timur;http://fr.wikipedia.org/wiki/Meng%C3%BC_Tem%C3%BCr;http://de.wikipedia.org/wiki/M%C3%B6ngke_Timur;;;;;;;;;;;x
W_L_125509;http://en.wikipedia.org/wiki/Tode_Mongke;http://fr.wikipedia.org/wiki/Tuda_Mangu;;;;;;;;;;;;x
W_L_125511;http://en.wikipedia.org/wiki/Talabuga;http://fr.wikipedia.org/wiki/Tula_Buqa;http://de.wikipedia.org/wiki/Tulabugha;;;;;;;;;;;x
W_L_125512;http://en.wikipedia.org/wiki/Toqta;http://fr.wikipedia.org/wiki/Toqta%C3%AF;http://de.wikipedia.org/wiki/Tohtu;;http://es.wikipedia.org/wiki/Toqta;;;;;;;;;x
W_L_480000;http://en.wikipedia.org/wiki/%C3%96z_Beg_Khan;http://fr.wikipedia.org/wiki/%C3%96zbeg;http://de.wikipedia.org/wiki/Usbek_Khan;;http://es.wikipedia.org/wiki/Uzbeg_Kan;;;;;;;;;x
W_L_125514;http://en.wikipedia.org/wiki/Tini_Beg;http://fr.wikipedia.org/wiki/Tinibeg;;;;;;;;;;;;x
W_L_125515;http://en.wikipedia.org/wiki/Jani_Beg;http://fr.wikipedia.org/wiki/Djanibeg;http://de.wikipedia.org/wiki/Dschani_Beg;;;;;;;;;;;x
W_L_125518;http://en.wikipedia.org/wiki/Nogai_Khan;http://fr.wikipedia.org/wiki/Noga%C3%AF;http://de.wikipedia.org/wiki/Nogai_Khan;;http://es.wikipedia.org/wiki/Nogai_Kan;;;;;;;;;x
W_L_125519;http://en.wikipedia.org/wiki/Chaka_of_Bulgaria;http://fr.wikipedia.org/wiki/Tzaka;http://de.wikipedia.org/wiki/Tschaka_Nogai;;http://es.wikipedia.org/wiki/Chaka_de_Bulgaria;;;;;;;;;x
W_L_478010;http://en.wikipedia.org/wiki/Abaqa_Khan;http://fr.wikipedia.org/wiki/Abaqa;http://de.wikipedia.org/wiki/Abaqa;;http://es.wikipedia.org/wiki/Abaqa_Kan;;;;;;;;;x
W_L_478011;http://en.wikipedia.org/wiki/Hulagu_Khan;http://fr.wikipedia.org/wiki/Houlagou_Khan;http://de.wikipedia.org/wiki/H%C3%BCleg%C3%BC;;http://es.wikipedia.org/wiki/Hulagu;;;;;;;;;x
W_L_125522;http://en.wikipedia.org/wiki/Baydu;http://fr.wikipedia.org/wiki/Ba%C3%AFdou;http://de.wikipedia.org/wiki/Baidu_(Ilchan);;http://es.wikipedia.org/wiki/Baydu;;;;;;;;;x
